SK_ID_CURR,TARGET,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_REGISTRATION,DAYS_ID_PUBLISH,HOUR_APPR_PROCESS_START,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_MEAN,BURO_MONTHS_BALANCE_SIZE_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_CREDIT_TYPE_Creditcard_MEAN,BURO_STATUS_0_MEAN_MEAN,ACTIVE_DAYS_CREDIT_MIN,ACTIVE_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_MEAN,CLOSED_DAYS_CREDIT_MAX,CLOSED_DAYS_CREDIT_MEAN,PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MEAN,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,PREV_NAME_PAYMENT_TYPE_Cashthroughthebank_MEAN,PREV_NAME_TYPE_SUITE_nan_MEAN,PREV_NAME_PRODUCT_TYPE_XNA_MEAN,PREV_NAME_SELLER_INDUSTRY_Consumerelectronics_MEAN,PREV_NAME_YIELD_GROUP_high_MEAN,PREV_NAME_YIELD_GROUP_low_normal_MEAN,REFUSED_DAYS_DECISION_MAX,POS_MONTHS_BALANCE_MEAN,CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,score,TARGET_
100002,1.0,0.018801,-9461,-3648.0,-2120,10,0.0830369673913225,0.2629485927471776,0.1393757800997895,-1134.0,-1437.0,-103.0,-874.0,13.75,0.25,0.5,0.4069602272727273,-1042.0,-103.0,-572.5,-476.0,-974.5,-606.0,-606.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,-10.0,,0.20865534933701502,Client à Risque
100004,0.0,0.010032,-19046,-4260.0,-2531,9,,0.5559120833904428,0.7295666907060153,-815.0,-1326.0,-408.0,-867.0,,0.0,0.0,,,,,-408.0,-867.0,-815.0,-815.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,-25.5,,0.7942333883374789,Client fiable
100007,0.0,0.028663,-19932,-4311.0,-3458,11,,0.3227382869704046,,-1106.0,-1149.0,-1149.0,-1149.0,,0.0,0.0,,,,,-1149.0,-1149.0,-2357.0,-1222.8333333333333,1.0,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,,-33.63636363636363,,0.456634355437861,Client fiable
100009,0.0,0.035792,-13778,-1213.0,-619,16,0.7747614130547695,0.7239998516953141,0.4920600938649263,-1562.0,-2882.0,-239.0,-1271.5,,0.2222222222222222,0.1111111111111111,,-1293.0,-239.0,-591.75,-684.0,-1465.7142857142858,-1562.0,-719.2857142857143,1.0,1.0,0.2857142857142857,1.0,0.8571428571428571,0.2857142857142857,0.1428571428571428,,-33.0625,,0.8738474575485209,Client fiable
100014,0.0,0.0228,-10197,-4427.0,-738,15,0.3197601716755032,0.6518623334244781,0.363945238612397,-844.0,-2308.0,-376.0,-1095.375,,0.25,0.0,,-423.0,-376.0,-399.5,-435.0,-1327.3333333333333,-844.0,-473.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,,-18.25,,0.6556004866015664,Client fiable
100015,0.0,0.015221,-20417,-5246.0,-2512,7,0.7220444501416448,0.5551831615131809,0.6528965519806539,-2396.0,-1409.0,-319.0,-947.75,,0.0,0.0,,,,,-319.0,-947.75,-2396.0,-2396.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,-74.0,,0.8699137644762396,Client fiable
100016,0.0,0.031329,-13439,-311.0,-3227,10,0.4648311169632833,0.7150418188660659,0.1766525794312139,-2370.0,-1634.0,-128.0,-618.4285714285714,,0.5714285714285714,0.1428571428571428,,-262.0,-128.0,-168.25,-528.0,-1218.6666666666667,-2370.0,-1779.5,1.0,1.0,0.0,1.0,0.75,0.75,0.0,,-48.25373134328358,,0.5265017907273479,Client fiable
100020,0.0,0.018634,-12931,-6392.0,-3866,12,,0.2363778398884225,0.0621030378372968,-3.0,-492.0,-90.0,-261.5,,0.5,0.0,,-176.0,-90.0,-133.0,-288.0,-390.0,-472.0,-357.5,1.0,0.5,0.5,1.0,1.0,0.5,0.0,,-9.0,,0.21149689150977746,Client fiable
100026,0.0,0.020713,-11146,-114.0,-2518,6,,0.457142971588935,0.3589512285783967,-468.0,-1644.0,-148.0,-679.0,,0.6666666666666666,0.0,,-245.0,-148.0,-196.5,-1644.0,-1644.0,-1427.0,-682.3333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,,-32.90909090909091,,0.44643772117947744,Client fiable
100029,0.0,0.026392,-11286,-108.0,-3729,14,,0.7861793090532118,0.5656079814115492,-4.0,-2806.0,-110.0,-1416.75,,0.25,0.0,,-110.0,-110.0,-110.0,-1375.0,-1852.3333333333333,-324.0,-324.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,-8.5,,0.8515506860867179,Client fiable
100031,1.0,0.018029,-18724,-6573.0,-1827,9,,0.5484771599678789,0.190705947811054,-161.0,-1365.0,-75.0,-579.5714285714286,,0.4285714285714285,0.2857142857142857,,-741.0,-75.0,-332.0,-203.0,-765.25,,,,,,,,,,,,,0.3746463695985742,Client à Risque
100035,0.0,0.025164,-15280,-5266.0,-3787,13,,0.479987342189869,0.4101025731788671,-1634.0,-2723.0,-184.0,-1399.3333333333333,,0.5555555555555556,0.3333333333333333,,-979.0,-184.0,-521.8,-2159.0,-2496.25,-2073.0,-558.1818181818181,0.3636363636363636,0.4545454545454545,0.5909090909090909,0.6818181818181818,0.0454545454545454,0.2272727272727272,0.0454545454545454,-119.0,-40.44594594594594,,0.3692571742222047,Client fiable
100036,0.0,0.008575,-11144,-7846.0,-2904,12,0.2744223724911185,0.6273004007953609,,-397.0,-889.0,-889.0,-889.0,,1.0,0.0,,-889.0,-889.0,-889.0,,,-397.0,-222.125,0.25,0.5,0.625,0.875,0.625,0.0,0.125,-185.0,-7.5,945000.0,0.47035369444915043,Client fiable
100039,0.0,0.015221,-11694,-3557.0,-3557,10,,0.3217448956617718,0.4118485559242397,-697.0,-1485.0,-90.0,-641.4444444444445,,0.3333333333333333,0.2222222222222222,,-449.0,-90.0,-210.0,-465.0,-787.4,-2398.0,-1245.25,0.75,0.75,0.25,0.75,0.5,0.5,0.25,,-43.72727272727273,,0.4934290959973562,Client fiable
100040,0.0,0.0196889999999999,-15997,-5735.0,-4067,14,,0.1724975081477771,,-3019.0,,,,,,,,,,,,,-1038.0,-1038.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,-48.82857142857143,,0.4251593765424063,Client fiable
100041,0.0,0.008575,-12158,-6265.0,-2009,19,,0.6631580756296298,0.6785676886853644,-1285.0,-2890.0,-66.0,-1292.5384615384614,,0.0769230769230769,0.0769230769230769,,-448.0,-448.0,-448.0,-66.0,-1362.9166666666667,-2701.0,-2104.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,,-56.66666666666666,,0.8518902059778154,Client fiable
100047,1.0,0.025164,-17482,-1182.0,-1029,9,,0.306840586048305,0.3201633668633456,-1075.0,-2055.0,-420.0,-1104.8,,0.6,0.2,,-1195.0,-420.0,-857.0,-898.0,-1476.5,-2634.0,-1432.0,0.6666666666666666,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.0,0.3333333333333333,0.5,-1075.0,-62.0,11745000.0,0.3336465138119229,Client à Risque
100048,0.0,0.009175,-16971,-3148.0,-513,12,,0.0373152355612163,,-458.0,-75.0,-75.0,-75.0,3.0,0.0,0.0,1.0,,,,-75.0,-75.0,-949.0,-544.5,0.75,0.5,0.75,0.25,0.0,0.0,0.25,,-8.125,6975000.0,0.20321677530171545,Client fiable
100051,0.0,0.007114,-9827,-4166.0,-2380,12,,0.6315186311742824,,-556.0,,,,,,,,,,,,,-556.0,-313.6666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.0,-349.0,-9.5,,0.5620886727618353,Client fiable
